URL,Price,SQM,Energy_Class,Price_per_SQM,Neighborhood,Title
"https://www.spitogatos.gr/en/property/1117933932",84000.0,67.0,"E",1254,"Kolonaki","Sale, Apartment, 67m² Pagkrati, Profitis Ilias | 1..."
"https://www.spitogatos.gr/en/property/1117366343",437000.0,132.0,"D",3311,"Kolonaki","Sale, Apartment, 132m² Exarchia - Neapoli, Mouseio..."
"https://www.spitogatos.gr/en/property/1116699355",210000.0,80.0,"G",2625,"Kolonaki","Sale, Apartment, 80m² Petralona, Ano Petralona | 1..."
"https://www.spitogatos.gr/en/property/1117188887",250000.0,116.0,"D",2155,"Kolonaki","Sale, Apartment, 116m² Athens - Center, Ampelokipo..."
"https://www.spitogatos.gr/en/property/1117926586",78000.0,56.0,"C",1393,"Kolonaki","Sale, Apartment, 56m² Kipseli, Ano Kipseli - Evelp..."
"https://www.spitogatos.gr/en/property/1117333068",72000.0,30.0,"F",2400,"Kolonaki","Sale, Studio, 30m² Gizi - Pedion Areos, Gkyzi - Ar..."
"https://www.spitogatos.gr/en/property/1117768248",1085700.0,329.0,"D",3300,"Kolonaki","Sale, Apartment, 329m² Historic Center, Plaka | 17..."
"https://www.spitogatos.gr/en/property/1117299409",230000.0,81.0,"D",2840,"Kolonaki","Sale, Apartment, 81m² Kipseli, Ano Kipseli - Evelp..."
"https://www.spitogatos.gr/en/property/1118047730",165000.0,50.0,"B",3300,"Kolonaki","Sale, Apartment, 50m² Ampelokipoi - Pentagon, Erit..."
"https://www.spitogatos.gr/en/property/1117533786",380000.0,100.0,"D",3800,"Kolonaki","Sale, Apartment, 100m² Pagkrati, Pagkrati Center |..."
"https://www.spitogatos.gr/en/property/1117178173",260000.0,87.0,"D",2989,"Kolonaki","Sale, Apartment, 87m² Ampelokipoi - Pentagon, Ampe..."
"https://www.spitogatos.gr/en/property/1117561987",500000.0,97.0,"C",5155,"Kolonaki","Sale, Apartment, 97m² Koukaki - Makrygianni, Makri..."
"https://www.spitogatos.gr/en/property/1117537328",198000.0,95.0,"F",2084,"Kolonaki","Sale, Apartment, 95m² Kipseli, Nea Kipseli | 17537..."
"https://www.spitogatos.gr/en/property/1115537516",695000.0,175.0,"C",3971,"Kolonaki","Sale, Apartment, 175m² Kolonaki - Lykavittos, Kolo..."
"https://www.spitogatos.gr/en/property/1117477648",275000.0,72.0,"C",3819,"Kolonaki","Sale, Apartment, 72m² Koukaki - Makrygianni, Kouka..."
"https://www.spitogatos.gr/en/property/1117601327",170000.0,91.0,"E",1868,"Kolonaki","Sale, Apartment, 91m² Athens - Center, Kipseli | 1..."
"https://www.spitogatos.gr/en/property/1117734915",360000.0,90.0,"D",4000,"Kolonaki","Sale, Apartment, 90m² Athens - Center, Ampelokipoi..."
"https://www.spitogatos.gr/en/property/1117447571",130000.0,71.0,"D",1831,"Kolonaki","Sale, Apartment, 71m² Attiki, Platia Attikis | 174..."
"https://www.spitogatos.gr/en/property/1117495442",93000.0,52.0,"D",1788,"Kolonaki","Sale, Apartment, 52m² Athens - Center, Kipseli | 1..."
"https://www.spitogatos.gr/en/property/1117965437",450000.0,390.0,"G",1154,"Kolonaki","Sale, Apartment complex, 390m² Kipseli, Ano Kipsel..."
"https://www.spitogatos.gr/en/property/1117930833",355000.0,47.0,"D",7553,"Kolonaki","Sale, Studio, 47m² Kolonaki - Lykavittos, Kolonaki..."
"https://www.spitogatos.gr/en/property/1117726813",115000.0,50.0,"D",2300,"Kolonaki","Sale, Apartment, 50m² Patision - Acharnon, Kato Pa..."
"https://www.spitogatos.gr/en/property/1117510018",700000.0,173.0,"E",4046,"Kolonaki","Sale, Apartment, 173m² Kolonaki - Lykavittos, Kolo..."
"https://www.spitogatos.gr/en/property/1116687268",235000.0,144.0,"G",1632,"Kolonaki","Sale, Apartment, 144m² Kipseli, Ano Kipseli - Evel..."
"https://www.spitogatos.gr/en/property/1117303634",395000.0,56.0,"D",7054,"Kolonaki","Sale, Apartment, 56m² Athens - Center, Historic Ce..."
"https://www.spitogatos.gr/en/property/1117931915",377000.0,98.0,"D",3847,"Kolonaki","Sale, Apartment, 98m² Athens - Center, Gizi - Pedi..."
"https://www.spitogatos.gr/en/property/1117079796",360000.0,106.0,"D",3396,"Kolonaki","Sale, Loft, 106m² Gazi - Metaxourgio - Votanikos, ..."
"https://www.spitogatos.gr/en/property/1117706550",170000.0,90.0,"C",1889,"Kolonaki","Sale, Apartment, 90m² Neos Kosmos, Kinosargous | 1..."
"https://www.spitogatos.gr/en/property/1118009113",75000.0,21.0,"A+",3571,"Kolonaki","Sale, Studio, 21m² Gizi - Pedion Areos, Gkyzi - Ar..."
"https://www.spitogatos.gr/en/property/1117635524",1300000.0,176.0,"D",7386,"Kolonaki","Sale, Apartment, 176m² Kolonaki - Lykavittos, Kolo..."
