URL,Price,SQM,Energy_Class,Price_per_SQM,Neighborhood,Rooms,Title
"https://www.spitogatos.gr/en/property/1117828519",70000.0,38.0,"D",1842,"Kipseli",1,"Sale, Apartment, 38m² Athens - Center, Kipseli | 1..."
"https://www.spitogatos.gr/en/property/1117931915",377000.0,98.0,"A",3847,"Athens Center",1,"Sale, Apartment, 98m² Athens - Center, Gizi - Pedi..."
"https://www.spitogatos.gr/en/property/1117053990",1850000.0,340.0,"B",5441,"Kolonaki",4,"Sale, Apartment, 340m² Kolonaki - Lykavittos, Kolo..."
"https://www.spitogatos.gr/en/property/1117246803",295000.0,102.0,"C",2892,"Athens Center",3,"Sale, Apartment, 102m² Neos Kosmos, Center | 17246..."
"https://www.spitogatos.gr/en/property/1118047438",950000.0,150.0,"D",6333,"Kolonaki",2,"Sale, Apartment, 150m² Kolonaki - Lykavittos, Kolo..."
"https://www.spitogatos.gr/en/property/1117303634",395000.0,56.0,"B",7054,"Athens Center",1,"Sale, Apartment, 56m² Athens - Center, Historic Ce..."
"https://www.spitogatos.gr/en/property/1117482555",140000.0,62.0,"D",2258,"Athens Center",1,"Sale, Apartment, 62m² Pagkrati, Pagkrati Center | ..."
"https://www.spitogatos.gr/en/property/1117131266",265000.0,68.0,"A",3897,"Athens Center",1,"Sale, Apartment, 68m² Gazi - Metaxourgio - Votanik..."
"https://www.spitogatos.gr/en/property/1117349380",175000.0,50.0,"F",3500,"Koukaki",1,"Sale, Apartment, 50m² Koukaki - Makrygianni, Kouka..."
"https://www.spitogatos.gr/en/property/1117952031",120000.0,78.0,"D",1538,"Athens Center",2,"Sale, Apartment, 78m² Athens - Center, Attiki | 17..."
"https://www.spitogatos.gr/en/property/1118038090",115000.0,60.0,"D",1917,"Athens Center",1,"Sale, Apartment, 60m² Athens - Center, Ano Patisia..."
"https://www.spitogatos.gr/en/property/1117453190",390000.0,64.0,"C",6094,"Kolonaki",1,"Sale, Apartment, 64m² Kolonaki - Lykavittos, Kolon..."
"https://www.spitogatos.gr/en/property/1117558960",199000.0,46.0,"C",4326,"Exarchia",1,"Sale, Apartment, 46m² Exarchia - Neapoli, Exarchei..."
"https://www.spitogatos.gr/en/property/1117303265",275000.0,56.0,"C",4911,"Athens Center",1,"Sale, Maisonette, 56m² Pagkrati, Pagkrati Center |..."
"https://www.spitogatos.gr/en/property/1115537516",695000.0,175.0,"C",3971,"Kolonaki",1,"Sale, Apartment, 175m² Kolonaki - Lykavittos, Kolo..."
"https://www.spitogatos.gr/en/property/1117726813",115000.0,50.0,"A",2300,"Athens Center",1,"Sale, Apartment, 50m² Patision - Acharnon, Kato Pa..."
"https://www.spitogatos.gr/en/property/1117818215",139000.0,88.0,"D",1580,"Athens Center",2,"Sale, Apartment, 88m² Gizi - Pedion Areos, Lofos F..."
"https://www.spitogatos.gr/en/property/1117522955",9800000.0,465.0,"A",21075,"Athens Center",1,"Sale, Detached house, 465m² Athens - Center, Histo..."
"https://www.spitogatos.gr/en/property/1117002630",2000000.0,300.0,"C",6667,"Plaka",1,"Sale, Maisonette, 300m² Historic Center, Plaka | 1..."
"https://www.spitogatos.gr/en/property/1117364353",195000.0,70.0,"D",2786,"Athens Center",2,"Sale, Apartment, 70m² Sepolia - Skouze, Sepolia | ..."
"https://www.spitogatos.gr/en/property/1117657336",158000.0,70.0,"D",2257,"Athens Center",2,"Sale, Apartment, 70m² Athens - Center, Neos Kosmos..."
"https://www.spitogatos.gr/en/property/1116669206",298000.0,113.0,"A",2637,"Ampelokipoi",1,"Sale, Apartment, 113m² Ampelokipoi - Pentagon, Gir..."
"https://www.spitogatos.gr/en/property/1117690666",245000.0,110.0,"C",2227,"Athens Center",3,"Sale, Apartment, 110m² Patision - Acharnon, Kato P..."
"https://www.spitogatos.gr/en/property/1116064024",240000.0,114.0,"D",2105,"Kipseli",1,"Sale, Apartment, 114m² Kipseli, Ano Kipseli - Evel..."
"https://www.spitogatos.gr/en/property/1117188200",200000.0,181.0,"C",1105,"Athens Center",2,"Sale, Maisonette, 181m² Patision - Acharnon, Agios..."
"https://www.spitogatos.gr/en/property/1117244783",147000.0,62.0,"B",2371,"Athens Center",1,"Sale, Apartment, 62m² Patision - Acharnon, Kato Pa..."
"https://www.spitogatos.gr/en/property/1117735051",310000.0,134.0,"D",2313,"Athens Center",3,"Sale, Maisonette, 134m² Agios Eleftherios - Probon..."
"https://www.spitogatos.gr/en/property/1116864045",650000.0,135.0,"C",4815,"Koukaki",3,"Sale, Apartment, 135m² Koukaki - Makrygianni, Makr..."
"https://www.spitogatos.gr/en/property/1117915593",160000.0,69.0,"C",2319,"Ampelokipoi",2,"Sale, Apartment, 69m² Ampelokipoi - Pentagon, Erit..."
"https://www.spitogatos.gr/en/property/1117798407",500000.0,97.0,"A",5155,"Koukaki",1,"Sale, Apartment, 97m² Koukaki - Makrygianni, Makri..."
"https://www.spitogatos.gr/en/property/1117953175",360000.0,98.0,"D",3673,"Kolonaki",1,"Sale, Apartment, 98m² Athens - Center, Kolonaki - ..."
"https://www.spitogatos.gr/en/property/1117497765",250000.0,59.0,"G",4237,"Athens Center",1,"Sale, Studio, 59m² Athens - Center, Pagkrati | 174..."
